AccountID,AssetClassID,BenchmarkID,Rank
911,NULL,82,1
911,NULL,166,50
912,NULL,82,1
912,NULL,166,50
913,NULL,82,1
913,NULL,166,50
914,NULL,82,1
914,NULL,166,2
915,NULL,82,1
915,NULL,166,2
916,NULL,82,1
916,NULL,166,2
917,NULL,82,1
917,NULL,166,50
918,NULL,82,1
918,NULL,166,50
919,NULL,82,1
919,NULL,166,2
920,NULL,82,1
920,NULL,166,50
921,NULL,82,2
921,NULL,166,1
922,NULL,82,2
922,NULL,166,1
923,NULL,82,1
923,NULL,166,2
924,NULL,82,1
924,NULL,166,50
925,NULL,82,1
925,NULL,166,50
926,NULL,57,3
926,NULL,63,1
926,NULL,82,2
926,NULL,166,50
927,NULL,57,3
927,NULL,63,1
927,NULL,82,2
927,NULL,166,50
928,NULL,57,3
928,NULL,63,1
928,NULL,82,2
928,NULL,166,50
929,NULL,82,1
929,NULL,166,50
930,NULL,82,1
930,NULL,166,50
931,NULL,82,1
931,NULL,166,50
932,NULL,82,1
932,NULL,166,50
933,NULL,166,50
934,NULL,76,2
934,NULL,78,1
935,NULL,76,2
935,NULL,78,1
936,NULL,76,2
936,NULL,78,1
937,NULL,76,2
937,NULL,78,1
938,NULL,82,1
938,NULL,166,2
939,NULL,82,1
939,NULL,166,2
940,NULL,58,50
940,NULL,60,1
941,NULL,58,3
941,NULL,60,2
941,NULL,61,1
942,NULL,58,1
942,NULL,60,2
943,NULL,58,1
943,NULL,60,2
944,NULL,58,2
944,NULL,60,1
945,NULL,58,2
945,NULL,60,1
946,NULL,58,2
946,NULL,60,1
947,NULL,58,2
947,NULL,60,1
948,NULL,58,2
948,NULL,60,1
949,NULL,58,2
949,NULL,60,1
950,NULL,58,2
950,NULL,60,1
951,NULL,58,2
951,NULL,60,1
952,NULL,58,2
952,NULL,60,1
953,NULL,58,2
953,NULL,60,1
954,NULL,58,2
954,NULL,60,1
955,NULL,58,2
955,NULL,60,1
956,NULL,166,50
957,NULL,82,2
957,NULL,166,1
958,NULL,82,1
958,NULL,164,3
958,NULL,166,2
959,NULL,82,1
